,Topic,Scientific information,Quranic verse
10,Mountains,a book titled earth by geophysicist frank press earth isbn 0716717433 by press frank siever raymond wh freeman c1986  explains that mountains are like stakes and are buried deep under the surface of the earth mount everest the height of which is approximately 9 km above ground has a root deeper than 125 km   did we not make the earth a resting place and the mountains as stakesquran 7867,did we not make the earth a resting place and the mountains as stakes
11,Universe expanding,the fact that the universe is expanding was discovered in the last century the physicist stephen hawking in his book a brief history of time writes the discovery that the universe is expanding was one of the great intellectual revolutions of the 20th century and it is we who have built the universe with our creative power and keep expanding it  5147,and it is we who have built the universe with our creative power and keep expanding it
12,Light in the Moon is merely a Reflection,"it is known that the sun is a star that generates intense heat and light by its internal combustion and that the moon which does not give off light itself merely reflects the light received from the sun
 
the  testifies the above fact

blessed is the one who placed the constellations in heaven and placed in it a lamp siraj and a moon giving light muniira 2561
 
here the moon is defined as a body that gives reflection of light muniira while the sun is compared to a blazing lamp or torch siraj",blessed is the one who placed the constellations in heaven and placed in it a lamp siraj and a moon giving light
13,High Altitude,it is infact a highly common place reflection on the discomfort experienced at high altitude which increases the higher one climbs that is expressed in the  those whom god wills to guide he opens their breast to islam while those whom he wills to let straying he makes their breath closed and constricted as if they had to climb up the skies 6125 who informed the prophet that by climbing up in the skies the pressure increases and breathing becomes difficult,those whom god wills to guide he opens their breast to islam while those whom he wills to let straying he makes their breath closed and constricted as if they had to climb up the skies
14,Honey Bees,"your lord inspired the female bee choose your dwelling in the hills in the trees and in what man build eat of all fruit and follow the ways of your lord in humility from within their bodies comes a liquid of different colours where is cure for men 166869
 
the  refers that the workerbees who are searching for food are females the verbs used in arabic refer to female bees this is very amazing for all along until only recently people imagined that the soldierbees were males",your lord inspired the female bee choose your dwelling in the hills in the trees and in what man build eat of all fruit and follow the ways of your lord in humility from within their bodies comes a liquid of different colours where is cure for men
15,Role of Wind,"the  also mentions the role and operation of an important factor in the bringing of things to fruition the wind

we have sent the winds as a means of insemination and impregnation and then sent down rain from the heavens 1522

in this verse the  unveils another a great mystery of creation the fundamental role played by the wind in the fertilization of plants",we have sent the winds as a means of insemination and impregnation and then sent down rain from the heavens 1522
16,In Pairs,"it is only recently that researchers have come aware of insemination in plants and learned that every living being including plants comes into existence as the result of the merging of a male and female parts
 
in verses that are totally free of ambiguity the noble  sets forth clearly the principle of gender in the gender world together with the existence of male and female parts even in plants

do they not look at the earth where we created the plants in pairs 267",do they not look at the earth where we created the plants in pairs
17,Production of Milk in Animals,"the  describes the factors which give rise to milk in animals in a way that is entirely compatible with the data of modern science this is what gods book has to say

there is in truth for you a lesson in your animals and flocks we give you to drink a pure milk derived from that which is contained in their bodies from the merging of what is held in their intestines with blood the drinking of that is then made easy for those who drink it 1666
 
dr bucaille writes in his book
from a scientific point of view physiological notions must be called upon to grasp the meaning of this verse the substances that ensure the general nutrition of the body come from chemical transformations which occur along the length of the digestive tract these substances come from the contents of the intestine on arrival in the intestine at the appropriate stage of chemical transformation they pass through its wall and towards the systemic circulation of blood this very precise concept is the result of the discoveries made in the chemistry and physiology of the digestive system it was totally unknown at the time of the prophet muhammad and has been understood only in recent times","there is in truth for you a lesson in your animals and flocks we give you to drink a pure milk derived from that which is contained in their bodies from the merging of what is held in their intestines with blood the drinking of that is then made easy for those who drink it 1666"
18,Force of Gravity,"we know that before the time of newton that great scientific personality no one was aware of the force of gravity newton proved that the falling of objects to earth the rotation of the moon and the venus the motion of the planets and other instances of attraction are all subject to the single law the law of universal gravity
 
the  describes the above mentioned gravitational force as invisible pillars

god it is who raised up the heavenly bodies to invisible pillars  132
 
in conveying this scientific truth the  has used an expression that is comprehensible for the men of all ages are these unseen pillars which prevent the planets from colliding with each other or falling anything other than the mysterious and invisible force of universal gravity a law to which the creator of the universe has subjected all of the heavenly bodies",god it is who raised up the heavenly bodies to invisible pillars 
19,Orbits,it is he who created the night and the day the sun and the moon each swimming in an orbit the word yasbaḥūn یسبحون is an arabic word that means motion by a moving body this could be movement of the body on the ground or swimming in water however when we want to translate it as regards a celestial body it means to travel with its own motion 5,it is he who created the night and the day the sun and the moon each swimming in an orbit
20,Rotation of the Earth,"he created the heavens and the earth with consummate wisdom he winds the night over the day and winds the day over the night and he has disposed the sun and the moon each moving for a specified term indeed he is the allmighty the allforgiver

this winding the day over the night and winding the night over the day depicts a rotational movement of the earth god states this fact long before astronomers discovered the rotation of the earth around its own axis this is yet another proof of the veracity of the  and the religion of islam",he created the heavens and the earth with consummate wisdom he winds the night over the day and winds the day over the night and he has disposed the sun and the moon each moving for a specified term indeed he is the allmighty the allforgiver
21,The Solar Apex,"the sun runs on to its place of rest that is the ordaining of the allmighty the allknowing 6

modern science has proven that the entire solar system is moving in a circulatory motion around a specific location towards a specific point astronomers have called this point the solar apex",the sun runs on to its place of rest that is the ordaining of the allmighty the allknowing
22,Water Cycle,it was not so until the sixteenth century when an explanation for the water cycle was given people before used to believe that winds thrust the water of the oceans into the continents which then returned to the oceans by means of the great abyss the  had a correct explanation for and description of the water cycle more than 14 centuries ago and it is completely in line with modern science,have you not seen that allah sends down water from the sky then he conducts it through the ground as springs then he brings forth with it crops of diverse hues then they wither and you see them turn yellow then he turns them into chaff there is indeed a lesson in that for those who possess intellect
23,Physiology,this is very intriguing indeed a thousand years before the discovery of the blood circulatory system and how it nourishes the internal organs as well as about thirteen centuries before the digestive system was discovered god explains in this verse how milk is made in the cattle that is by the bloodstream going into the mammary glands and the digestive system nourishing the internal organs the  is truly the word of god not the word of prophet muhammad who was an untaught man,there is indeed a lesson for you in the cattle we give you a drink pleasant to those who drink pure milk which is in their bellies between intestinal waste and blood
