Topic,Scientific information,Quranic verse
Mountains,"A book titled ‘Earth’ by Geophysicist Frank Press (Earth (ISBN 0716717433) by Press, Frank, Siever, Raymond. W.H. Freeman, c1986.)  explains that mountains are like stakes, and are buried deep under the surface of the earth. Mount Everest, the height of which is approximately 9 km above ground, has a root deeper than 125 km.   “Did we not make the earth a resting place? and the mountains as stakes?”[Quran, 78:6-7]",“Did we not make the earth a resting place? and the mountains as stakes?”
Universe expanding,"The fact that the universe is expanding was discovered in the last century. The physicist Stephen Hawking in his book ‘A Brief History of Time’ writes, “The discovery that the universe is expanding was one of the great intellectual revolutions of the 20th century.” “And it is We who have built the universe with [Our creative] power and keep expanding it.”[ Quran, 51:47]",“And it is We who have built the universe with [Our creative] power and keep expanding it.”
Light in the Moon is merely a Reflection,"It is known that the sun is a star that generates intense heat and light by its internal combustion, and that the moon which does not give off light itself, merely reflects the light received from the sun.
 
The Qur’an testifies the above fact:

“Blessed is the One Who placed the constellations in heaven and placed in it a lamp (SIRAJ) and a moon, giving light (MUNIIRA)”. (25:61)
 
Here the moon is defined as a body that gives reflection of light (Muniira), while the sun is compared to a blazing lamp or torch (Siraj).","“Blessed is the One Who placed the constellations in heaven and placed in it a lamp (SIRAJ) and a moon, giving light"
High Altitude,"It is infact a highly common place reflection on the discomfort experienced at high altitude, which increases the higher one climbs, that is expressed in the Qur’an: “Those whom God wills to guide, He opens their breast to Islam. While those whom He wills to let straying, He makes their breath closed and constricted, as if they had to climb up the skies”. (6:125) Who informed the Prophet that by climbing up in the skies, the pressure increases and breathing becomes difficult?","“Those whom God wills to guide, He opens their breast to Islam. While those whom He wills to let straying, He makes their breath closed and constricted, as if they had to climb up the skies”."
Honey Bees,"“Your Lord inspired the (female) bee, choose your dwelling in the hills, in the trees and in what (man) build. Eat of all fruit and follow the ways of your Lord in humility. From within their bodies comes a liquid of different colours where is cure for men”. (16:68-69)
 
The Qur’an refers that the worker-bees who are searching for food are females. The verbs used in Arabic refer to female bees. This is very amazing. For all along, until only recently, people imagined that the “soldier-bees” were males.","“Your Lord inspired the (female) bee, choose your dwelling in the hills, in the trees and in what (man) build. Eat of all fruit and follow the ways of your Lord in humility. From within their bodies comes a liquid of different colours where is cure for men”"
Role of Wind,"The Qur’an also mentions the role and operation of an important factor in the bringing of things to fruition: the wind.

“We have sent the winds as a means of insemination and impregnation, and then sent down rain from the heavens.” (15:22).

In this verse, the Qur’an unveils another a great mystery of creation, the fundamental role played by the wind in the fertilization of plants.","“We have sent the winds as a means of insemination and impregnation, and then sent down rain from the heavens.” (15:22)."
In Pairs,"It is only recently that researchers have come aware of insemination in plants and learned that every living being including plants comes into existence as the result of the merging of a male and female parts.
 
In verses that are totally free of ambiguity, the noble Qur’an, sets forth clearly the principle of gender in the gender world, together with the existence of male and female parts even in plants.

“Do they not look at the earth, where we created the plants in pairs”. (26:7).","“Do they not look at the earth, where we created the plants in pairs”"
Production of Milk in Animals,"The Qur’an describes the factors which give rise to milk in animals in a way that is entirely compatible with the data of modern science. This is what God’s book has to say:

“There is in truth for you a lesson in your animals and flocks. We give you to drink a pure milk derived from that which is contained in their bodies, from the merging of what is held in their intestines with blood. The drinking of that is then made easy for those who drink it.” (16:66).
 
Dr. Bucaille writes in his book:
“From a scientific point of view, physiological notions must be called upon to grasp the meaning of this verse. The substances that ensure the general nutrition of the body come from chemical transformations which occur along the length of the digestive tract. These substances come from the contents of the intestine. On arrival in the intestine at the appropriate stage of chemical transformation, they pass through its wall and towards the systemic circulation (of blood)...... This very precise concept is the result of the discoveries made in the chemistry and physiology of the digestive system. It was totally unknown at the time of the Prophet Muhammad and has been understood only in recent times.”","“There is in truth for you a lesson in your animals and flocks. We give you to drink a pure milk derived from that which is contained in their bodies, from the merging of what is held in their intestines with blood. The drinking of that is then made easy for those who drink it.” (16:66)."
Force of Gravity,"We know that before the time of Newton, that great scientific personality, no one was aware of the force of gravity. Newton proved that the falling of objects to earth, the rotation of the moon and the Venus, the motion of the planets, and other instances of attraction are all subject to the single law, the law of universal gravity.
 
The Qur’an describes the above mentioned gravitational force as ‘invisible pillars’:

“God it is Who raised up the heavenly bodies to invisible pillars .....” (13:2).
 
In conveying this scientific truth, the Qur’an has used an expression that is comprehensible for the men of all ages. Are these ‘unseen pillars’, which prevent the planets from colliding with each other or falling, anything other than the mysterious and invisible force of universal gravity, a law to which the Creator of the universe has subjected all of the heavenly bodies?",“God it is Who raised up the heavenly bodies to invisible pillars .....”
Orbits,"It is He who created the night and the day, the sun and the moon, each swimming in an orbit. The word yasbaḥūn (یَسبَحون) is an Arabic word that means motion by a moving body. This could be movement of the body on the ground or swimming in water. However, when we want to translate it as regards a celestial body, it means “to travel with its own motion.” 5","It is He who created the night and the day, the sun and the moon, each swimming in an orbit."
Rotation of the Earth,"He created the heavens and the earth with consummate wisdom. He winds the night over the day, and winds the day over the night, and He has disposed the sun and the moon, each moving for a specified term. Indeed, He is the All-mighty, the All-forgiver!

This winding the day over the night and winding the night over the day depicts a rotational movement of the earth. God states this fact long before astronomers discovered the rotation of the earth around its own axis. This is yet another proof of the veracity of the Quran and the religion of Islam.","He created the heavens and the earth with consummate wisdom. He winds the night over the day, and winds the day over the night, and He has disposed the sun and the moon, each moving for a specified term. Indeed, He is the All-mighty, the All-forgiver!"
The Solar Apex,"The sun runs on to its place of rest: That is the ordaining of the All-mighty, the All-knowing. 6

Modern science has proven that the entire solar system is moving in a circulatory motion around a specific location towards a specific point. Astronomers have called this point, the solar apex.","The sun runs on to its place of rest: That is the ordaining of the All-mighty, the All-knowing."
Water Cycle,"it was not so until the sixteenth century when an explanation for the water cycle was given. People before used to believe that winds thrust the water of the oceans into the continents, which then returned to the oceans by means of the great abyss. The Quran had a correct explanation for and description of the water cycle more than 14 centuries ago and it is completely in line with modern science.","Have you not seen that Allah sends down water from the sky, then He conducts it through the ground as springs. Then He brings forth with it crops of diverse hues. Then they wither and you see them turn yellow. Then He turns them into chaff. There is indeed a lesson in that for those who possess intellect."
Physiology,"This is very intriguing indeed. A thousand years before the discovery of the blood circulatory system, and how it nourishes the internal organs, as well as about thirteen centuries before the digestive system was discovered, God explains in this verse how milk is made in the cattle. That is, by the bloodstream going into the mammary glands and the digestive system nourishing the internal organs. The Quran is truly the word of God, not the word of Prophet Muhammad who was an untaught man.","There is indeed a lesson for you in the cattle: We give you a drink pleasant to those who drink, pure milk, which is in their bellies, between [intestinal] waste and blood."
